profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Voon Wee Yong,https://profiles.ucalgary.ca/voon-wee-yong,ms and brain tumors,ms and brain tumors,"Brain Tumor, Primary",brain tumors,MTH,C0750974,yes,"Brain Tumor, Primary","Brain Tumor, Primary",Brain Tumor,Brain Tumor
Voon Wee Yong,https://profiles.ucalgary.ca/voon-wee-yong,brain tumors,brain tumors,"Brain Tumor, Primary | Brain Neoplasms | Brain Stem Neoplasms",brain tumors,MTH,C0750974 | C0006118 | C0677866,yes,"Brain Tumor, Primary | Brain Neoplasms | Brain Stem Neoplasms","Brain Tumor, Primary",Brain Tumor,Brain Tumor
Voon Wee Yong,https://profiles.ucalgary.ca/voon-wee-yong,neuroimmunology neuroprotection cns regeneration ms,neuroimmunology neuroprotection cns regeneration ms,Neuroprotection | Neuroprotective Agents | Nerve Regeneration,,MSH | MTH,C0598958 | C0242912 | C0027756,yes,Neuroprotection | Neuroprotective Agents | Nerve Regeneration,neuroimmunology neuroprotection cns regeneration ms,Neuroimmunology Neuroprotection Cns Regeneration Ms,
Voon Wee Yong,https://profiles.ucalgary.ca/voon-wee-yong,brain tumors summary of research dr,brain tumors summary of research dr,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Neuroendocrine Tumors,,MTH,C0006107 | C0270611 | C0006118 | C0006111 | C0206754,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | Neuroendocrine Tumors,brain tumors summary of research dr,Brain Tumors Summary Of Research Dr,
Werner John Becker,https://profiles.ucalgary.ca/werner-john-becker,migraine,migraine,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,migraine,MTH | MSH | SNOMEDCT_US,C0149931 | C0338480 | C0270858 | C0221058 | C0270862,yes,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,Migraine Disorders,Migraine,Migraine
Willem Wildering,https://profiles.ucalgary.ca/willem-wildering,neurotoxicology of aquatic pollutants,neurotoxicology of aquatic pollutants,Aquatic Therapy,,MSH,C5544506,yes,Aquatic Therapy,neurotoxicology of aquatic pollutants,Neurotoxicology Of Aquatic Pollutants,Neurotoxicology Of Aquatic Pollutants
Willem Wildering,https://profiles.ucalgary.ca/willem-wildering,molecular mechanisms of neuronal aging,molecular mechanisms of neuronal aging,Unknown Cellular or Molecular Mechanism | Molecular Mechanisms of Pharmacological Action,molecular mechanisms,MTH | MSH,C3537153 | C1258062,yes,Unknown Cellular or Molecular Mechanism | Molecular Mechanisms of Pharmacological Action,Molecular Mechanisms of Pharmacological Action,Molecular Mechanisms Of Pharmacological,Molecular Mechanisms Of Pharmacological
Willem Wildering,https://profiles.ucalgary.ca/willem-wildering,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
William Alexander Fletcher,https://profiles.ucalgary.ca/william-alexander-fletcher,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
William Alexander Fletcher,https://profiles.ucalgary.ca/william-alexander-fletcher,comprising disorders of eye movement,comprising disorders of eye movement,Neurologic disorder of eye movements | Family history of eye movement disorder,disorders eye movement,SNOMEDCT_US,C1290846 | C3887088,yes,Neurologic disorder of eye movements | Family history of eye movement disorder,Neurologic disorder of eye movements,Neurologic Disorder Of Eye Movements,
Emeritus William Kenyon Stell,https://profiles.ucalgary.ca/william-kenyon-stell,cones with specific bipolar,cones with specific bipolar,"Bipolar Disorder | Depression, Bipolar | Bipolar Agents | Phobia, Specific | Bipolar diathermy",cones specific,MTH | MSH | SNOMEDCT_US,C0005586 | C0005587 | C1579429 | C0236801 | C0441520,yes,"Bipolar Disorder | Depression, Bipolar | Bipolar Agents | Phobia, Specific | Bipolar diathermy",cones with specific bipolar,Cones With Specific Bipolar,Cones With Specific Bipolar
Emeritus William Kenyon Stell,https://profiles.ucalgary.ca/william-kenyon-stell,horizontal cells for the first time,horizontal cells for the first time,"First Aid | First degree atrioventricular block | Horizontal Nystagmus | Diplopia, Horizontal | Horizontal eyebrow",horizontal cells,MTH | MSH | SNOMEDCT_US,C0016143 | C0085614 | C0271385 | C0751077 | C3277019,yes,"First Aid | First degree atrioventricular block | Horizontal Nystagmus | Diplopia, Horizontal | Horizontal eyebrow",horizontal cells for the first time,Horizontal Cells For The First Time,
Emeritus William Kenyon Stell,https://profiles.ucalgary.ca/william-kenyon-stell,produced new works on retinal neuropeptides,produced new works on retinal neuropeptides,Fictional Works | Collected Works | Retinal Detachment | retinaldehyde | Retinal Diseases,,MTH,C0887933 | C0600643 | C0035305 | C0035331 | C0035309,yes,Fictional Works | Collected Works | Retinal Detachment | retinaldehyde | Retinal Diseases,produced new works on retinal neuropeptides,Produced New Works On Retinal Neuropeptides,
Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,computational neuroscience,computational neuroscience,Computational Modelling | Computational Technique,,MTH,C5544479 | C1516769,yes,Computational Modelling | Computational Technique,computational neuroscience,Computational Neuroscience,Computational Neuroscience
Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,dementia,dementia,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",dementia,MTH | MSH,C0497327 | C0011265 | C0011268 | C0011263 | C0011269,yes,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",Dementia,Dementia,Dementia
Wilten Nicola,https://profiles.ucalgary.ca/wilten-nicola,epilepsy,epilepsy,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",epilepsy,MTH | MSH,C0014544 | C0014553 | C0014549 | C0085417,yes,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",Epilepsy,Epilepsy,Epilepsy
Yaoping Hu,https://profiles.ucalgary.ca/yaoping-hu,brain-machine interfaces,brain-machine interfaces,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | User-Computer Interface,brain-machine interfaces | brain machine interfaces | brain machine | machine interfaces,MTH,C0006107 | C0270611 | C0006118 | C0006111 | C0042117,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases | User-Computer Interface,brain-machine interfaces,Brain Machine Interfaces,Brain Machine Interfaces
Yeonjung Lee,https://profiles.ucalgary.ca/yeonjung-lee,social statuses,social statuses,"Unknown - CWE statuses | Phobia, Social | Social Problems | Administrative statuses | Problem statuses",,MTH | MSH | SNOMEDCT_US,C1556130 | C0031572 | C0037431 | C0585724 | C1273987,yes,"Unknown - CWE statuses | Phobia, Social | Social Problems | Administrative statuses | Problem statuses",social statuses,Social Statuses,Social Statuses
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,cognitive informatics,cognitive informatics,Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance | Cognitive Restructuring,,MTH | MSH,C0009244 | C0392335 | C1270972 | C0009242 | C0150173,yes,Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance | Cognitive Restructuring,cognitive informatics,Cognitive Informatics,Cognitive Informatics
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,cognitive robotics,cognitive robotics,Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance | Cognitive Restructuring,,MTH | MSH,C0009244 | C0392335 | C1270972 | C0009242 | C0150173,yes,Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance | Cognitive Restructuring,cognitive robotics,Cognitive Robotics,Cognitive Robotics
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,brain informatics,brain informatics,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,,MTH,C0006107 | C0270611 | C0006118 | C0006111,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,brain informatics,Brain Informatics,Brain Informatics
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C5940531 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,brain science,brain science,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,,MTH,C0006107 | C0270611 | C0006118 | C0006111,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,brain science,Brain Science,Brain Science
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,journal of cognitive informatics & natural intelligence (ijcini),journal of cognitive informatics natural intelligence ijcini,,,,,no,journal of cognitive informatics natural intelligence ijcini,journal of cognitive informatics & natural intelligence (ijcini),Journal Of Cognitive Informatics Natural Intelligence Ijcini,
Yingxu Wang,https://profiles.ucalgary.ca/yingxu-wang,international institute of cognitive informatics,international institute of cognitive informatics,International travel | Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance,,MTH | MSH,C4554677 | C0009244 | C0392335 | C1270972 | C0009242,yes,International travel | Cognitive Therapy | Cognitive functions | Mild cognitive disorder | Cognitive Dissonance,international institute of cognitive informatics,International Institute Of Cognitive Informatics,
Yunyan Zhang,https://profiles.ucalgary.ca/yunyan-zhang,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C5940531 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Yunyan Zhang,https://profiles.ucalgary.ca/yunyan-zhang,management of health,management of health,Health management deficit | Health management finding,management of health | management health,SNOMEDCT_US,C0231345 | C1268744,yes,Health management deficit | Health management finding,Health management deficit,Health Management,Health Management
Yunyan Zhang,https://profiles.ucalgary.ca/yunyan-zhang,non-imaging data,non-imaging data,Dynamic non-imaging isotope study | Radionuclide non-imaging renal studies | Non-imaging thyroid uptake test | Non-imaging thyroid uptake of I123 | Non-imaging thyroid uptake of I131 | Prostate Imaging-Reporting and Data System | Lung Imaging Reporting and Data System | Thyroid Imaging Reporting and Data System,non imaging | imaging data,SNOMEDCT_US,C0412322 | C0412424 | C0412438 | C0412440 | C0412441 | C3897818 | C6008793 | C6010485,yes,Dynamic non-imaging isotope study | Radionuclide non-imaging renal studies | Non-imaging thyroid uptake test | Non-imaging thyroid uptake of I123 | Non-imaging thyroid uptake of I131 | Prostate Imaging-Reporting and Data System | Lung Imaging Reporting and Data System | Thyroid Imaging Reporting and Data System,Non-imaging thyroid uptake test,Non Imaging,Non Imaging
Yunyan Zhang,https://profiles.ucalgary.ca/yunyan-zhang,based primarily on clinically available information,based primarily on clinically available information,Dystrophies primarily involving the retinal pigment epithelium | Cerebral degeneration presenting primarily with dementia | Clinically isolated syndrome | Clinically relevant isoenzyme,,MTH | SNOMEDCT_US,C0154865 | C0349723 | C2921627 | C1442929,yes,Dystrophies primarily involving the retinal pigment epithelium | Cerebral degeneration presenting primarily with dementia | Clinically isolated syndrome | Clinically relevant isoenzyme,based primarily on clinically available information,Based Primarily On Clinically Available Information,
Yves Starreveld,https://profiles.ucalgary.ca/yves-starreveld,epilepsy,epilepsy,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",epilepsy,MTH | MSH,C0014544 | C0014553 | C0014549 | C0085417,yes,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",Epilepsy,Epilepsy,Epilepsy
Yves Starreveld,https://profiles.ucalgary.ca/yves-starreveld,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Zahinoor Ismail,https://profiles.ucalgary.ca/zahinoor-ismail,alzheimer disease,alzheimer disease,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,alzheimer disease,MTH,C0002395 | C1863051 | C1847200 | C1837149,yes,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,Alzheimer's Disease,Alzheimer Disease,Alzheimer Disease
Zahinoor Ismail,https://profiles.ucalgary.ca/zahinoor-ismail,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
